"","mirna","X4","interaction","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","Source","Significance","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"37579","Cluster_3301","FUN_025109","Cluster_3301 _ FUN_025109",790004,"Cluster_3301","FUN_025109",0.575793207657183,0.000101308307911935,0.0195231879389307,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37581","Cluster_3301","FUN_024025","Cluster_3301 _ FUN_024025",750887,"Cluster_3301","FUN_024025",0.610060678468498,2.92413030012461e-05,0.00969735877236268,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37589","Cluster_3301","FUN_024258","Cluster_3301 _ FUN_024258",760628,"Cluster_3301","FUN_024258",0.570164158165534,0.000122638408588451,0.0217820366357028,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37592","Cluster_3301","FUN_024304","Cluster_3301 _ FUN_024304",761648,"Cluster_3301","FUN_024304",0.51286549286461,0.000714844832442568,0.0571320520364884,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37596","Cluster_3301","FUN_023915","Cluster_3301 _ FUN_023915",745532,"Cluster_3301","FUN_023915",0.52486198581199,0.000507032970962769,0.0474477874297807,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37613","Cluster_3301","FUN_025456","Cluster_3301 _ FUN_025456",801530,"Cluster_3301","FUN_025456",0.512573548865657,0.000720732577897684,0.0574070287073485,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37621","Cluster_3301","FUN_025551","Cluster_3301 _ FUN_025551",805304,"Cluster_3301","FUN_025551",0.569116905627845,0.000127027865888923,0.0222276872192892,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37633","Cluster_3301","FUN_026700","Cluster_3301 _ FUN_026700",852122,"Cluster_3301","FUN_026700",0.544654657130049,0.000279571881766831,0.0343212037423192,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37637","Cluster_3301","FUN_026735","Cluster_3301 _ FUN_026735",854315,"Cluster_3301","FUN_026735",0.522115469945931,0.000549130909842698,0.0494805862526339,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37638","Cluster_3301","FUN_026826","Cluster_3301 _ FUN_026826",856202,"Cluster_3301","FUN_026826",0.581616422168987,8.28306601476578e-05,0.0174458625237635,"mRNA","p < 0.05","ptg000020l:13915059-13943611","P35061","Histone H2A","Acropora formosa (Staghorn coral)","","GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982"
"37642","Cluster_3301","FUN_026989","Cluster_3301 _ FUN_026989",859211,"Cluster_3301","FUN_026989",0.555336745300846,0.000199598938696517,0.0284576124930876,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37643","Cluster_3301","FUN_027025","Cluster_3301 _ FUN_027025",859670,"Cluster_3301","FUN_027025",0.62439027617221,1.66420306563483e-05,0.00700358892217696,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37644","Cluster_3301","FUN_025883","Cluster_3301 _ FUN_025883",819941,"Cluster_3301","FUN_025883",0.668302402414231,2.44883295904937e-06,0.00216875599108553,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37647","Cluster_3301","FUN_025897","Cluster_3301 _ FUN_025897",820706,"Cluster_3301","FUN_025897",0.69336936615906,7.06557069845437e-07,0.000929236976397907,"mRNA","p < 0.05","ptg000020l:1702201-1705526","Q8BHB0","Nucleotide-binding oligomerization domain-containing protein 1 (Caspase recruitment domain-containing protein 4)","Mus musculus (Mouse)","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; cellular response to muramyl dipeptide [GO:0071225]; defense response to bacterium [GO:0042742]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; ERK1 and ERK2 cascade [GO:0070371]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of cell death [GO:0010942]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of dendritic cell antigen processing and presentation [GO:0002606]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of nitric-oxide synthase activity [GO:0051000]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of xenophagy [GO:1904417]; regulation of apoptotic process [GO:0042981]; stress-activated MAPK cascade [GO:0051403]; xenophagy [GO:0098792]","GO:0002221; GO:0002606; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006915; GO:0006919; GO:0007249; GO:0007254; GO:0010942; GO:0016045; GO:0016323; GO:0016324; GO:0032731; GO:0032755; GO:0032757; GO:0032760; GO:0032874; GO:0035556; GO:0038187; GO:0042742; GO:0042802; GO:0042803; GO:0042981; GO:0043123; GO:0043280; GO:0044877; GO:0045087; GO:0045335; GO:0046330; GO:0050700; GO:0050830; GO:0051000; GO:0051092; GO:0051403; GO:0060907; GO:0070371; GO:0070374; GO:0071225; GO:0098792; GO:1901224; GO:1904417"
"37649","Cluster_3301","FUN_025926","Cluster_3301 _ FUN_025926",822032,"Cluster_3301","FUN_025926",0.515264877942802,0.000668056379686333,0.0550423514711351,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37651","Cluster_3301","FUN_025998","Cluster_3301 _ FUN_025998",824990,"Cluster_3301","FUN_025998",0.507291736786272,0.000834985429276993,0.0621016973706994,"mRNA","p < 0.05","ptg000020l:3104221-3107608","P59046","NACHT, LRR and PYD domains-containing protein 12 (Monarch-1) (PYRIN-containing APAF1-like protein 7) (Regulated by nitric oxide)","Homo sapiens (Human)","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cellular response to cytokine stimulus [GO:0071345]; dendritic cell migration [GO:0036336]; ERK1 and ERK2 cascade [GO:0070371]; negative regulation of cytokine production [GO:0001818]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 production [GO:0032692]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of signal transduction [GO:0009968]; negative regulation of Toll signaling pathway [GO:0045751]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of MHC class I biosynthetic process [GO:0045345]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-18 production [GO:0032661]; signal transduction [GO:0007165]","GO:0001818; GO:0005524; GO:0005737; GO:0005829; GO:0006919; GO:0007165; GO:0008656; GO:0009968; GO:0031953; GO:0032088; GO:0032661; GO:0032692; GO:0032715; GO:0032731; GO:0036336; GO:0038061; GO:0043122; GO:0043124; GO:0043281; GO:0045345; GO:0045751; GO:0050727; GO:0050728; GO:0050729; GO:0070371; GO:0070373; GO:0071345; GO:1901223; GO:1901224"
"37652","Cluster_3301","FUN_026002","Cluster_3301 _ FUN_026002",825092,"Cluster_3301","FUN_026002",0.516577933644836,0.000643625357407144,0.0539558028013945,"mRNA","p < 0.05","ptg000020l:3169012-3173383","Q8K3Z0","Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15)","Mus musculus (Mouse)","activation of immune response [GO:0002253]; biosynthetic process of antibacterial peptides active against Gram-positive bacteria [GO:0002815]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to organic cyclic compound [GO:0071407]; cellular response to peptidoglycan [GO:0071224]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; detection of biotic stimulus [GO:0009595]; detection of muramyl dipeptide [GO:0032498]; ERK1 and ERK2 cascade [GO:0070371]; establishment of localization in cell [GO:0051649]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; innate immune response in mucosa [GO:0002227]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; maintenance of gastrointestinal epithelium [GO:0030277]; MAPK cascade [GO:0000165]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-18 production [GO:0032701]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of macrophage apoptotic process [GO:2000110]; negative regulation of macrophage cytokine production [GO:0010936]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell mediated immunity [GO:0002710]; negative regulation of toll-like receptor 2 signaling pathway [GO:0034136]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type II interferon production [GO:0032689]; NIK/NF-kappaB signaling [GO:0038061]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; pattern recognition receptor signaling pathway [GO:0002221]; peptidyl-tyrosine phosphorylation [GO:0018108]; phagocytosis [GO:0006909]; positive regulation of antibacterial peptide biosynthetic process [GO:0006963]; positive regulation of B cell activation [GO:0050871]; positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria [GO:0006965]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production involved in immune response [GO:0002720]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of dendritic cell antigen processing and presentation [GO:0002606]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of innate immune response [GO:0045089]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of oxidoreductase activity [GO:0051353]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis [GO:0050766]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of prostaglandin-E synthase activity [GO:2000363]; positive regulation of prostaglandin-endoperoxide synthase activity [GO:0060585]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type 2 immune response [GO:0002830]; positive regulation of xenophagy [GO:1904417]; regulation of inflammatory response [GO:0050727]; regulation of neutrophil chemotaxis [GO:0090022]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; response to muramyl dipeptide [GO:0032495]; response to nutrient [GO:0007584]; response to peptidoglycan [GO:0032494]; signal transduction [GO:0007165]; stress-activated MAPK cascade [GO:0051403]; toll-like receptor 2 signaling pathway [GO:0034134]; xenophagy [GO:0098792]","GO:0000165; GO:0002221; GO:0002227; GO:0002253; GO:0002606; GO:0002710; GO:0002720; GO:0002732; GO:0002815; GO:0002830; GO:0002862; GO:0002925; GO:0003779; GO:0005524; GO:0005737; GO:0005794; GO:0005829; GO:0005856; GO:0005886; GO:0006909; GO:0006952; GO:0006954; GO:0006963; GO:0006965; GO:0007165; GO:0007249; GO:0007254; GO:0007584; GO:0008284; GO:0009595; GO:0009986; GO:0010936; GO:0016045; GO:0016323; GO:0018108; GO:0019899; GO:0019901; GO:0030277; GO:0030544; GO:0031398; GO:0031982; GO:0032088; GO:0032494; GO:0032495; GO:0032496; GO:0032498; GO:0032500; GO:0032689; GO:0032695; GO:0032701; GO:0032703; GO:0032720; GO:0032731; GO:0032733; GO:0032735; GO:0032740; GO:0032755; GO:0032757; GO:0032760; GO:0032874; GO:0032991; GO:0034134; GO:0034136; GO:0035556; GO:0038061; GO:0038187; GO:0042742; GO:0042834; GO:0043123; GO:0043330; GO:0043406; GO:0043410; GO:0043552; GO:0044877; GO:0045087; GO:0045089; GO:0045335; GO:0045747; GO:0045944; GO:0046330; GO:0050679; GO:0050700; GO:0050727; GO:0050731; GO:0050766; GO:0050830; GO:0050871; GO:0051092; GO:0051353; GO:0051403; GO:0051649; GO:0051770; GO:0051879; GO:0060585; GO:0060907; GO:0070371; GO:0070374; GO:0070431; GO:0071222; GO:0071224; GO:0071225; GO:0071407; GO:0071639; GO:0090022; GO:0098792; GO:1900017; GO:1901224; GO:1902523; GO:1904417; GO:2000110; GO:2000363"
"37655","Cluster_3301","FUN_026079","Cluster_3301 _ FUN_026079",829172,"Cluster_3301","FUN_026079",-0.562884120226669,0.000156220717484716,0.0247692789123179,"mRNA","p < 0.05","ptg000020l:4385668-4397688","Q562C6","Leucine zipper transcription factor-like protein 1","Rattus norvegicus (Rat)","flagellated sperm motility [GO:0030317]; negative regulation of protein localization to ciliary membrane [GO:1903568]; negative regulation of protein localization to cilium [GO:1903565]; spermatogenesis [GO:0007283]","GO:0002177; GO:0005737; GO:0005829; GO:0005929; GO:0007283; GO:0030317; GO:0042802; GO:0044877; GO:0062063; GO:1903565; GO:1903568"
"37658","Cluster_3301","FUN_026127","Cluster_3301 _ FUN_026127",831161,"Cluster_3301","FUN_026127",0.532864183453005,0.000400330705679053,0.0417641950319715,"mRNA","p < 0.05","ptg000020l:4862336-4904653","O43422","52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12)","Homo sapiens (Human)","negative regulation of cell population proliferation [GO:0008285]; signal transduction [GO:0007165]","GO:0003677; GO:0005634; GO:0007165; GO:0008285; GO:0046872; GO:0046983"
"37668","Cluster_3301","FUN_026240","Cluster_3301 _ FUN_026240",836516,"Cluster_3301","FUN_026240",0.660077460633437,3.59034722623757e-06,0.00278503838847533,"mRNA","p < 0.05","ptg000020l:6597154-6609975","P16157","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)","Homo sapiens (Human)","cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]","GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659"
"37670","Cluster_3301","FUN_026283","Cluster_3301 _ FUN_026283",837638,"Cluster_3301","FUN_026283",0.572095216847248,0.000114902514088955,0.0209569998129065,"mRNA","p < 0.05","ptg000020l:7170843-7227855","P16157","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)","Homo sapiens (Human)","cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]","GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659"
"37676","Cluster_3301","FUN_025808","Cluster_3301 _ FUN_025808",818309,"Cluster_3301","FUN_025808",0.514718474902155,0.000678464228526127,0.0555391128677011,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37685","Cluster_3301","FUN_027169","Cluster_3301 _ FUN_027169",1504463,"Cluster_3301","FUN_027169",0.501127442517012,0.000988491769195855,0.0679694161531447,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37688","Cluster_3301","FUN_028005","Cluster_3301 _ FUN_028005",885374,"Cluster_3301","FUN_028005",0.617334141130274,2.20419959116784e-05,0.00826224822463772,"mRNA","p < 0.05","ptg000021l:14495252-14504386","P04323","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","Drosophila melanogaster (Fruit fly)","DNA integration [GO:0015074]; proteolysis [GO:0006508]","GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575"
"37692","Cluster_3301","FUN_028063","Cluster_3301 _ FUN_028063",886190,"Cluster_3301","FUN_028063",0.756071329979157,1.68701979628126e-08,6.03549617998531e-05,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37693","Cluster_3301","FUN_028064","Cluster_3301 _ FUN_028064",886241,"Cluster_3301","FUN_028064",0.586207385125712,7.04792095865863e-05,0.0159181267023864,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37712","Cluster_3301","FUN_028354","Cluster_3301 _ FUN_028354",899450,"Cluster_3301","FUN_028354",0.543186391527106,0.000292567129315223,0.0351932184865764,"mRNA","p < 0.05","ptg000021l:18695057-18802949","P14381","Transposon TX1 uncharacterized 149 kDa protein (ORF 2)","Xenopus laevis (African clawed frog)","","GO:0003824"
"37713","Cluster_3301","FUN_028377","Cluster_3301 _ FUN_028377",901235,"Cluster_3301","FUN_028377",0.56564654329609,0.000142607544999051,0.0235119996153479,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37714","Cluster_3301","FUN_028394","Cluster_3301 _ FUN_028394",899960,"Cluster_3301","FUN_028394",0.601970834136041,3.97196325224408e-05,0.0116360858327251,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37728","Cluster_3301","FUN_027486","Cluster_3301 _ FUN_027486",871094,"Cluster_3301","FUN_027486",0.555663844269654,0.000197514428886622,0.0282836313088836,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37729","Cluster_3301","FUN_027504","Cluster_3301 _ FUN_027504",871859,"Cluster_3301","FUN_027504",0.546599293173124,0.000263159542328434,0.0331578430841825,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37732","Cluster_3301","FUN_027536","Cluster_3301 _ FUN_027536",872318,"Cluster_3301","FUN_027536",0.534565082037096,0.000380432188059282,0.0406237417129519,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37733","Cluster_3301","FUN_027589","Cluster_3301 _ FUN_027589",873593,"Cluster_3301","FUN_027589",0.525115127312317,0.000503302094633467,0.0472426784313423,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37736","Cluster_3301","FUN_027685","Cluster_3301 _ FUN_027685",1505891,"Cluster_3301","FUN_027685",0.562314698902968,0.000159168528564921,0.0250400679202817,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37740","Cluster_3301","FUN_028632","Cluster_3301 _ FUN_028632",908834,"Cluster_3301","FUN_028632",0.571477524772868,0.000117327587159339,0.021197607628797,"mRNA","p < 0.05","ptg000022l:1895384-1906559","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"37746","Cluster_3301","FUN_028557","Cluster_3301 _ FUN_028557",906335,"Cluster_3301","FUN_028557",0.547525753010153,0.000255649496720779,0.0326050617974133,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37747","Cluster_3301","FUN_028985","Cluster_3301 _ FUN_028985",921380,"Cluster_3301","FUN_028985",-0.50619182970565,0.000860711844132582,0.0631098497087532,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37770","Cluster_3301","FUN_031206","Cluster_3301 _ FUN_031206",986405,"Cluster_3301","FUN_031206",0.649017135476673,5.89905260907921e-06,0.00377411089262186,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37777","Cluster_3301","FUN_031311","Cluster_3301 _ FUN_031311",990383,"Cluster_3301","FUN_031311",0.596412955925686,4.87877603033923e-05,0.0130565234153591,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37778","Cluster_3301","FUN_031312","Cluster_3301 _ FUN_031312",990179,"Cluster_3301","FUN_031312",0.593439193706797,5.43774232399726e-05,0.0138198613883376,"mRNA","p < 0.05","ptg000023l:19269539-19275575","Q4R4A8","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVc) (GnT-IVc) (N-acetylglucosaminyltransferase IVc) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVc)","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)","protein glycosylation [GO:0006486]","GO:0000139; GO:0006486; GO:0008454; GO:0046872"
"37779","Cluster_3301","FUN_031335","Cluster_3301 _ FUN_031335",991403,"Cluster_3301","FUN_031335",0.535262182940465,0.000372536459854429,0.040157797679858,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37781","Cluster_3301","FUN_031375","Cluster_3301 _ FUN_031375",992423,"Cluster_3301","FUN_031375",0.576820734240916,9.77988300674905e-05,0.0191237282384562,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37782","Cluster_3301","FUN_031388","Cluster_3301 _ FUN_031388",994667,"Cluster_3301","FUN_031388",0.50449756358843,0.000901720795389719,0.064640619637523,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37785","Cluster_3301","FUN_031412","Cluster_3301 _ FUN_031412",992933,"Cluster_3301","FUN_031412",0.666031909364454,2.72485893605408e-06,0.00231798085083578,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37787","Cluster_3301","FUN_029464","Cluster_3301 _ FUN_029464",943106,"Cluster_3301","FUN_029464",0.556383184036344,0.000192999132691185,0.0278949856769286,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37788","Cluster_3301","FUN_031430","Cluster_3301 _ FUN_031430",993188,"Cluster_3301","FUN_031430",0.618426869079094,2.11127435702236e-05,0.00805101651325765,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37789","Cluster_3301","FUN_031432","Cluster_3301 _ FUN_031432",993290,"Cluster_3301","FUN_031432",0.516579872239177,0.000643589884816542,0.0539558028013945,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37791","Cluster_3301","FUN_029468","Cluster_3301 _ FUN_029468",943208,"Cluster_3301","FUN_029468",0.569192046597612,0.000126708253942255,0.0221973596508446,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"37806","Cluster_3301","FUN_031975","Cluster_3301 _ FUN_031975",1017668,"Cluster_3301","FUN_031975",-0.59930264752158,4.3861718845714e-05,0.0123003945847304,"mRNA","p < 0.05","ptg000023l:27351283-27357303","Q7SX99","Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)","Danio rerio (Zebrafish) (Brachydanio rerio)","cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; fumarate metabolic process [GO:0006106]; malate metabolic process [GO:0006108]; negative regulation of histone H3-K36 methylation [GO:0000415]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; regulation of arginine metabolic process [GO:0000821]; tricarboxylic acid cycle [GO:0006099]; urea cycle [GO:0000050]","GO:0000050; GO:0000415; GO:0000821; GO:0004333; GO:0005634; GO:0005694; GO:0005739; GO:0005829; GO:0006099; GO:0006106; GO:0006108; GO:0006281; GO:0006974; GO:0045239; GO:2001034"
"37809","Cluster_3301","FUN_032110","Cluster_3301 _ FUN_032110",1024910,"Cluster_3301","FUN_032110",0.718588727650685,1.77340380923967e-07,0.000344969521672775,"mRNA","p < 0.05","ptg000023l:28929390-28932288","Q8K4M5","COMM domain-containing protein 1 (Protein Murr1)","Mus musculus (Mouse)","cellular copper ion homeostasis [GO:0006878]; cholesterol homeostasis [GO:0042632]; copper ion homeostasis [GO:0055070]; Golgi to plasma membrane transport [GO:0006893]; low-density lipoprotein particle clearance [GO:0034383]; negative regulation of hypoxia-inducible factor-1alpha signaling pathway [GO:1902072]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein localization to cell surface [GO:2000009]; negative regulation of sodium ion transmembrane transport [GO:1902306]; nucleotide-excision repair [GO:0006289]; plasma membrane to endosome transport [GO:0048227]; positive regulation of cholesterol import [GO:1904109]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein ubiquitination [GO:0031398]; protein destabilization [GO:0031648]; protein localization to cell surface [GO:0034394]; protein transport [GO:0015031]; regulation of plasma lipoprotein particle levels [GO:0097006]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]","GO:0005507; GO:0005546; GO:0005547; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0006289; GO:0006878; GO:0006893; GO:0010008; GO:0015031; GO:0019871; GO:0031398; GO:0031462; GO:0031648; GO:0032088; GO:0032434; GO:0034383; GO:0034394; GO:0042632; GO:0042802; GO:0042803; GO:0043325; GO:0048227; GO:0050750; GO:0055037; GO:0055070; GO:0070300; GO:0080025; GO:0097006; GO:1902072; GO:1902306; GO:1904109; GO:1905751; GO:2000009; GO:2000010"
